ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_0_0_plot_001_x,ax_0_0_plot_001_y,ax_1_0_plot_002_x,ax_1_0_plot_002_y,ax_1_0_plot_003_x,ax_1_0_plot_003_y,ax_2_0_plot_004_x,ax_2_0_plot_004_y,ax_2_0_plot_005_x,ax_2_0_plot_005_y
0.078125,0.16789778,0.078125,0.2407904742722485,0.078125,0.24231714,0.078125,0.24231714,0.078125,-0.80531454,0.078125,-0.80531454
0.080078125,0.19461592,0.080078125,0.2439785301306736,0.080078125,0.24523012,0.080078125,0.24523008,0.080078125,-0.6540837,0.080078125,-0.6540844
0.08203125,0.21754566,0.08203125,0.2471937077489673,0.08203125,0.2481405,0.08203125,0.24814041,0.08203125,-0.5018296,0.08203125,-0.50182974
0.083984375,0.23597191,0.083984375,0.2504359694891157,0.083984375,0.25108907,0.083984375,0.2510891,0.083984375,-0.34877047,0.083984375,-0.34877047
0.0859375,0.24925728,0.0859375,0.2537052722266759,0.0859375,0.25405735,0.0859375,0.25405732,0.0859375,-0.19469601,0.0859375,-0.19469562
0.087890625,0.25686324,0.087890625,0.2570015672894136,0.087890625,0.25706717,0.087890625,0.25706723,0.087890625,-0.039845254,0.087890625,-0.039845362
0.08984375,0.2583701,0.08984375,0.2603248003968401,0.08984375,0.26011786,0.08984375,0.2601179,0.08984375,0.11598935,0.08984375,0.11598911
0.091796875,0.25349513,0.091796875,0.263674911600686,0.091796875,0.2632122,0.091796875,0.26321235,0.091796875,0.27257058,0.091796875,0.27257046
0.09375,0.24210805,0.09375,0.2670518352263433,0.09375,0.26636586,0.09375,0.26636586,0.09375,0.43008527,0.09375,0.43008557
0.095703125,0.2242433,0.095703125,0.2704554998153103,0.095703125,0.269564,0.095703125,0.26956403,0.095703125,0.5883208,0.095703125,0.58832073
0.09765625,0.20010872,0.09765625,0.273885828068675,0.09765625,0.27283555,0.09765625,0.27283558,0.09765625,0.7474267,0.09765625,0.74742687
0.099609375,0.17008972,0.099609375,0.2773427367916697,0.099609375,0.27615106,0.099609375,0.276151,0.099609375,0.9072306,0.099609375,0.90723056
0.1015625,0.13474888,0.1015625,0.2808261368393309,0.1015625,0.27954915,0.1015625,0.27954912,0.1015625,1.0678355,0.1015625,1.0678353
0.103515625,0.09482034,0.103515625,0.2843359330632991,0.103515625,0.28298917,0.103515625,0.282989,0.103515625,1.2291198,0.103515625,1.2291201
0.10546875,0.051199015,0.10546875,0.2878720242597923,0.10546875,0.28651512,0.10546875,0.28651515,0.10546875,1.3911359,0.10546875,1.3911356
0.107421875,0.004924352,0.107421875,0.2914343031187876,0.107421875,0.29008,0.107421875,0.29008004,0.107421875,1.5538195,0.107421875,1.5538193
0.109375,-0.042841103,0.109375,0.2950226561744428,0.109375,0.29372862,0.109375,0.29372862,0.109375,1.7171708,0.109375,1.7171708
0.111328125,-0.09083815,0.111328125,0.2986369637567949,0.111328125,0.29741207,0.111328125,0.2974122,0.111328125,1.8811847,0.111328125,1.8811845
