ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_1_0_plot_001_x,ax_1_0_plot_001_y,ax_1_0_plot_002_x,ax_1_0_plot_002_y,ax_2_0_plot_003_x,ax_2_0_plot_003_y,ax_2_0_plot_004_x,ax_2_0_plot_004_y
0.099609375,-0.024541229,0.099609375,0.9999999,0.099609375,0.9999999,0.099609375,-1.59534,0.099609375,-1.59534
0.1015625,0.09801714,0.1015625,1.0000001,0.1015625,1.0,0.1015625,-1.4726217,0.1015625,-1.4726217
0.103515625,0.21910124,0.103515625,1.0000001,0.103515625,1.0000002,0.103515625,-1.3499031,0.103515625,-1.349903
0.10546875,0.33688986,0.10546875,1.0000001,0.10546875,0.99999994,0.10546875,-1.2271845,0.10546875,-1.2271845
0.107421875,0.44961134,0.107421875,0.99999994,0.107421875,1.0,0.107421875,-1.1044661,0.107421875,-1.1044661
0.109375,0.55557024,0.109375,0.9999999,0.109375,0.99999994,0.109375,-0.9817477,0.109375,-0.98174775
0.111328125,0.65317285,0.111328125,1.0,0.111328125,1.0000001,0.111328125,-0.85902935,0.111328125,-0.8590292
0.11328125,0.7409511,0.11328125,1.0,0.11328125,1.0,0.11328125,-0.73631084,0.11328125,-0.7363107
0.115234375,0.8175848,0.115234375,0.99999994,0.115234375,1.0000001,0.115234375,-0.6135923,0.115234375,-0.61359215
0.1171875,0.8819213,0.1171875,0.9999998,0.1171875,0.9999999,0.1171875,-0.49087387,0.1171875,-0.49087358
0.119140625,0.9329928,0.119140625,1.0,0.119140625,0.9999999,0.119140625,-0.36815548,0.119140625,-0.36815533
0.12109375,0.97003126,0.12109375,1.0000001,0.12109375,0.9999999,0.12109375,-0.245437,0.12109375,-0.2454369
0.123046875,0.99247956,0.123046875,0.99999994,0.123046875,1.0,0.123046875,-0.122718506,0.123046875,-0.12271846
0.125,1.0,0.125,1.0000001,0.125,0.99999994,0.125,1.1685819e-08,0.125,6.313091e-08
0.126953125,0.99247956,0.126953125,1.0,0.126953125,0.9999999,0.126953125,0.12271852,0.126953125,0.122718416
0.12890625,0.97003126,0.12890625,1.0,0.12890625,0.99999994,0.12890625,0.24543694,0.12890625,0.24543707
0.130859375,0.9329928,0.130859375,1.0,0.130859375,0.9999998,0.130859375,0.36815536,0.130859375,0.36815533
0.1328125,0.8819213,0.1328125,1.0000001,0.1328125,1.0000001,0.1328125,0.49087387,0.1328125,0.49087387
0.134765625,0.8175848,0.134765625,0.99999994,0.134765625,1.0,0.134765625,0.6135924,0.134765625,0.6135923
0.13671875,0.7409511,0.13671875,0.9999999,0.13671875,0.9999998,0.13671875,0.7363107,0.13671875,0.7363108
0.138671875,0.65317285,0.138671875,1.0,0.138671875,1.0,0.138671875,0.8590292,0.138671875,0.85902923
